zip3,total,white_nonhispanic,black_nonhispanic,aian_nonhispanic,asian_nonhispanic,nhpi_nonhispanic,other_race_nonhispanic,two_or_more_nonhispanic,hispanic,other_nonhispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_hispanic,pct_other_nonhispanic,race_proxy_group
066,242428.0,98138.0,57893.0,421.0,8794.0,81.0,1459.0,4865.0,70777.0,6826.0,0.40481297539888134,0.23880492352368538,0.036274687742339995,0.29195059976570364,0.028156813569389674,white_nonhispanic
067,326097.0,227996.0,26414.0,196.0,7371.0,32.0,1116.0,7512.0,55460.0,8856.0,0.6991661990144037,0.08100043851982693,0.02260370380592278,0.17007209511280386,0.02715756354704275,white_nonhispanic
068,480903.0,345880.0,23969.0,515.0,26057.0,212.0,3469.0,8821.0,71980.0,13017.0,0.7192302813665126,0.04984165205873118,0.05418348398741534,0.14967675393998373,0.02706782864735716,white_nonhispanic
069,128747.0,64991.0,16266.0,214.0,11124.0,16.0,362.0,2217.0,33557.0,2809.0,0.5047962282616294,0.1263408079411559,0.08640201325079419,0.2606429664380529,0.021817984108367574,white_nonhispanic
070,1734010.0,767877.0,237500.0,1336.0,169689.0,573.0,11336.0,26809.0,518890.0,40054.0,0.4428330863143811,0.13696576144312894,0.09785929723588677,0.2992427956009481,0.0230990594056551,white_nonhispanic
071,399076.0,61235.0,185610.0,970.0,13738.0,53.0,5349.0,3986.0,128135.0,10358.0,0.15344195090659424,0.4650993795667993,0.0344245206426846,0.32107919293568143,0.025954955948240436,black_nonhispanic
072,185172.0,30567.0,45074.0,0.0,4703.0,10.0,5469.0,2447.0,96902.0,7926.0,0.16507355323699047,0.24341693128550754,0.02539800833819368,0.5233080595338389,0.04280344760546951,hispanic
073,261624.0,54850.0,57252.0,549.0,65149.0,136.0,1799.0,5800.0,76089.0,8284.0,0.20965201969238295,0.21883313457480966,0.24901767421949056,0.29083340977891936,0.03166376173439746,hispanic
074,464867.0,362267.0,9175.0,792.0,32715.0,162.0,1000.0,7435.0,51321.0,9389.0,0.7792917113927209,0.01973682795294138,0.07037496746381224,0.11039931851475798,0.02019717467576748,white_nonhispanic
075,198075.0,45829.0,39945.0,65.0,6916.0,0.0,673.0,2142.0,102505.0,2880.0,0.23137195506752492,0.20166603559257856,0.034916067146282974,0.5175059952038369,0.014539946989776599,hispanic
076,503233.0,259117.0,39317.0,641.0,92514.0,61.0,1242.0,7212.0,103129.0,9156.0,0.5149046266838622,0.07812881905598401,0.1838392951177685,0.20493290384374632,0.018194355298639,white_nonhispanic
077,594751.0,441305.0,41392.0,506.0,33874.0,207.0,1502.0,9839.0,66126.0,12054.0,0.7419995931070313,0.06959551139888794,0.05695492735615409,0.11118266299678353,0.0202673051411431,white_nonhispanic
